categoryId,channelId,channelTitle,commentCount,dislikeCount,likeCount,publishAt,subs,tags,title,viewCount
20,UCNK813T2BNBwcfDPDTPeMPA,Level UP,714,952,15053,2021-03-06T15:30:04Z,2260000,"['level up mario', 'funny mario videos', 'funny mario animations', 'mariocraft level up', 'sprite animation', 'mario maze run', 'mario mayhem level up', 'level up animations', 'mushroom kingdom mayhem', 'minecraft funny videos', 'mario maze mayhem', 'level up mariocraft', 'mario in minecraft animation', 'super mario video', 'super mario funny animations', 'super mario funny videos', 'mario waterfall maze', 'mario and the waterfall caverns', 'mario waterfall']",Level UP: Mario and the Waterfall Caverns,1270259
20,UCM-Q21rFJyjZA1fvg2cqKYw,Pepe el Mago Juega,1379,62,4628,2021-03-16T16:14:32Z,851000,"['SUPER MARIO BROS EN FRIDAY NIGHT FUNKIN', 'UNDERTALE EN FRIDAY NIGHT FUNKIN', 'Mods de Friday Night Funkin con Pepe el Mago', 'TERROR EN FRIDAY NIGHT FUNKIN', 'CANTANDO EN FRIDAY NIGHT FUNKIN', 'Friday Night Funkin con Pepe el Mago', 'Gameplay Español Friday Night Funkin', 'Friday Night Funkin Español', 'Gameplay Español', 'Parte 4']",SUPER MARIO BROS EN FRIDAY NIGHT FUNKIN !! - Friday Night Funkin con Pepe el Mago (#4),50183
20,UCCeHnMjq-57OMVKj9Rqb9lA,Tushar Kd,951,3968,39255,2020-11-28T13:30:18Z,525000,"['Among us cartoon', 'Among us animation', 'among us logic', 'among us parody', 'among us cartoon animation', 'among us funny cartoon', 'among us gamepaly', 'among us animation funny', 'among us animation impostor', 'among us animation logic', 'among us animation song', 'among us animation 2', 'among us animation', 'a among us animation', 'Among us funny cartoon', 'among us logic 2', 'mario cartoon', 'level up', 'among us mario', 'super mario bros among us', 'among us in mario', 'mario among us', 'tushar kd']",💥AMONG US : but with Super Mario Bros.🍄Mayhem [Mario Cartoon Animation],3795989
20,UCTA9LdIYhJ2-g0qYqV3eXvg,ChequioProGamer,378,162,8007,2020-11-04T16:30:16Z,433000,"['New Super Mario Bros. U Deluxe', ""Let's Play New Super Mario Bros. U Deluxe"", 'Walktrough New Super Mario Bros. U Deluxe 100%', 'Nintendo', 'Nintendo Switch', 'Chequio', 'ChequioProGamer', 'Guia de New Super Mario Bros. U Deluxe en español', 'Trucos de New Super Mario Bros. U Deluxe', 'Mario', 'Bowser', 'Peach', 'Luigi', 'Toad', 'Toadette', 'Peachette', 'Caco Gazapo']",¡LA PRINCESA PEACH CORRE PELIGRO! | PARTE #1 | NEW SUPER MARIO BROS. U DELUXE,251687
20,UCj_pcmy3zBqzouJe9hcpmpQ,Karim Juega,0,2363,26624,2020-12-31T16:45:01Z,4090000,"['juegos', 'mario bros', 'super mario', 'empieza la aventura', 'juegos nintendo', 'super mario bros u', 'mario bros u deluxe', 'super mario capitulo 1', 'juegos karim juega', 'videos karim juega', 'juego para niños', 'family frindly', 'kid friendly', 'super mario bros u deluxe', 'juegos nintendo karim', 'juego divertido', 'juego multijugador', 'juegos nintendo karim juega', 'juegos mario karim juega', 'juego mario vs luigi', 'princesa peach', 'bowser']",Empieza la Aventura en Super Mario Bros U. Deluxe | Bowser Atrapa a la Princesa Peach | Juegos Karim,2897751
20,UCSe_TN7DVjoHVcJZ6PC110A,Idan David,110,1025,4147,2021-01-22T16:45:00Z,640000,"['Super Sized Mario Bros', 'fat mario', 'bloopers', 'super mario', 'super mario bros', 'funny mario', 'mario comedy', 'mario parody', 'super mario parody', 'super mario bros parody', 'Super Mario Bloopers', 'mario and bowser', 'funny mario animation', 'Super Mario Fail PARODY', 'super mario fail', 'Super Mario Fails Compilation', 'mario fail', 'mario fails', 'mario weird mushroom', 'funny mario videos', 'funny mario animations', 'weird mushroom', 'funny mushroom', 'crazy mario', 'mario goes berserk', 'overweight mario', '🍔']",Super Sized Mario Bros [RTX ON] 🍔,1781579
20,UCsW-fY6JyFyLjVJaEXtFmtQ,NinToon,11,14,108,2021-03-14T17:15:01Z,148000,0,*New* Giga Cat Mario VS FURY BOWSER in New Super Mario Bros. Wii??,9536
20,UCw7GCGPm0-m5Wd0Rl6ZLPXA,GreenSpot,972,12894,59802,2020-01-02T10:00:01Z,1470000,"['super mario party', 'super mario', 'mario bros', 'mario', 'luigi', 'peach', 'daisy', 'mario vs luigi', 'mario party minigames']",Mario Party 10 - Master Difficulty - Mario vs Luigi vs Peach vs Daisy - Minigames,16702795
20,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,5187,3155,37399,2019-01-11T17:00:00Z,7710000,"['nintendo', 'play', 'play nintendo', 'game', 'gameplay', 'fun', 'video game', 'kids', 'action', 'adventure', 'rpg', 'nintendo switch', 'pro controller', 'joy con', 'nintendo direct', 'mario bros', 'super mario bros', 'super mario bros u', 'new super mario bros u deluxe', 'New Super Mario Bros. U Deluxe switch', 'New Super Mario Bros. U Deluxe nintendo switch', 'Nabbit', 'Toadette', 'peach', 'new characters', 'NSMBUD', 'NSMBUD switch', 'NSMBUD nintendo switch', 'platformer', 'mario', 'luigi', 'toad', 'multiplayer', 'co op']",New Super Mario Bros. U Deluxe - Launch Trailer - Nintendo Switch,5516905
20,UC-2wnBgTMRwgwkAkHq4V2rg,ProsafiaGaming,333,1911,8784,2017-12-12T22:22:43Z,3390000,"['Newer Super Mario Bros Wii', 'Super Mario', 'Super Mario Odyssey', 'Galaxy', '3D World', 'Luigi', 'Mario', 'Peach', 'Bowser', 'complete walkthrough', 'complete', '100%', 'walkthrough', 'all star coins', 'world 1', 'world 8', 'castle', 'tower', 'airship', 'final', 'finale', 'Wii', 'Nintendo', 'Switch', 'Wii U', '3DS', 'all', 'star coins', 'bosses', 'battles', 'fights', 'all bosses', 'boss', 'secret', 'ending', 'boss fights', 'boss battles', 'last', 'ProsafiaGaming', 'playthrough', 'lets play', 'speedrun', 'soundtrack', 'ost', 'theme']",Newer Super Mario Bros Wii Co-Op Walkthrough - Part 1 - Yoshi&#39;s Island,5863299
